complaint_text,ipc_sections
The accused intimidated me with serious consequences. I request legal action.,506
They threw stones and destroyed my car. I request legal action.,427
Someone forged my documents and used them for loan. I request legal action.,"468,471"
He broke my car intentionally.,427
"After marriage, my husband demanded dowry and treated me cruelly. I request legal action.",498A
He sexually harassed me in public and tried to molest me. I request legal action.,354
My in-laws are mentally and physically harassing me for money.,498A
The accused intimidated me with serious consequences.,506
He slapped me and I was injured. It happened suddenly.,"323,506"
He destroyed my smartphone intentionally.,427
I gave my documents for safekeeping but he cheated and kept it.,406
They used force and took my bag from me.,"392,506"
They used apublic busive words and humiliated me.,504
He beat me with his hand and caused hurt. Please register a case.,"323,506"
They assaulted me and I suffered simple injuries. I request legal action.,"323,506"
Someone forged my documents and used them for loan. It happened suddenly.,468
My laptop got took awayn near shop at night. I request legal action.,379
I was looted near street and my gold chain was taken. It happened suddenly.,"392,506"
Fake documents were prepared to cheat me.,468
My friend took my motorcycle and refused to return it. It happened suddenly.,406
The accused tried to force physical contact and misbehaved with me.,354
He sexually harassed me in public and tried to molest me. The accused escaped immediately.,354
Unknown person stole my mobile phone from market.,"379,411"
The accused kept my laptop and is not returning it. The accused escaped immediately.,"406,420"
The accused intimidated me with serious consequences.,506
The accused threatened me with serious consequences.,506
Someone forged my documents and used them for loan. I request legal action.,468
The accused intimidated me with serious consequences. The accused escaped immediately.,506
Someone took away my cell phone from parking lot while I was waiting. I request legal action.,379
He used a forged document as genuine for a loan. I request legal action.,471
He sexually harassed me in public and tried to molest me. I request legal action.,"354,506"
The accused insulted me and provoked me. I request legal action.,"504,323"
They made forged certificates to get benefits.,468
The accused broke my house window during a fight. I request legal action.,427
The accused tried to force physical contact and misbehaved with me.,354
"He cheated me by taking ₹2,00,000 for a job and never returned it. Please register a case.",420
Unknown person stolen my vehicle from parking lot. Please register a case.,"379,411"
"He collected ₹2,00,000 from me by giving false promises. It happened suddenly.","420,468"
The accused created fake documents for cheating purposes.,468
I was mugged near street and my gold chain was taken. It happened suddenly.,392
He sexually harassed me in public and tried to molest me.,"354,506"
The accused tried to force physical contact and misbehaved with me.,354
"He collected ₹1,00,000 from me by giving false promises.",420
He followed me and touched me without consent. The accused escaped immediately.,354
Someone snatched my vehicle from office premises while I was working.,"379,411"
"They defrauded me of ₹10,000 using fake documents. I request legal action.","420,468"
I gave my documents for safekeeping but he cheated and kept it. I request legal action.,406
I was mugged near bazaar and my gold chain was taken.,392
The accused beat me during an argument and I got pain.,"323,506"
Unknown person took away my vehicle from public bus. I request legal action.,"379,411"
My wallet got snatchedn near public bus at evening. Please register a case.,379
Someone forged my documents and used them for loan. It happened suddenly.,468
They used force and took my gold chain from me. I request legal action.,"392,506"
"He collected ₹2,00,000 from me by giving false promises. I request legal action.",420
He misused my documents entrusted to him and did not give it back.,"406,420"
Someone used forged papers to claim government benefit. Please register a case.,471
The accused warned me with serious consequences. I request legal action.,506
The accused kept my motorcycle and is not returning it. I request legal action.,"406,420"
"After marriage, my husband demanded dowry and treated me cruelly. I request legal action.","498A,406"
Someone forged my documents and used them for loan. The accused escaped immediately.,468
They assaulted me and I suffered simple injuries. It happened suddenly.,323
Someone destroyed my motorcycle causing loss. The accused escaped immediately.,427
"He cheated me by taking ₹50,000 for a job and never returned it. It happened suddenly.","420,468"
My in-laws are mentally and physically harassing me for money.,498A
Someone used forged papers to claim government benefit.,471
My wallet was took awayn from my shop.,379
Someone used forged papers to claim a loan. Please register a case.,471
I was robbed near street and my gold chain was taken.,"392,506"
He misused my cash entrusted to him and did not give it back. Please register a case.,406
They used apublic busive words and humiliated me. Please register a case.,504
Someone used forged papers to claim government benefit.,471
The accused tried to force physical contact and misbehaved with me. It happened suddenly.,"354,506"
They used abus stopive words and humiliated me.,504
"After marriage, my husband demanded dowry and treated me cruelly.","498A,406"
He sexually harassed me in public and tried to molest me. I request legal action.,"354,506"
The accused warned me with serious consequences. It happened suddenly.,506
I am facing domestic cruelty by my husband and his family. The accused escaped immediately.,"498A,406"
Unknown person took away my smartphone from workplace. The accused escaped immediately.,379
Someone forged my documents and used them for loan. I request legal action.,468
They used force and took my phone from me.,"392,506"
Someone used forged papers to claim government benefit. The accused escaped immediately.,471
"He cheated me by taking ₹25,000 for a job and never returned it. Please register a case.","420,468"
Fake documents were prepared to cheat me.,468
They used abus stopive words and humiliated me.,504
He misused my documents entrusted to him and did not give it back.,"406,420"
They warned my family if we take legal action. The accused escaped immediately.,506
He intimidated to kill me if I report to police. The accused escaped immediately.,506
He sexually harassed me in public and tried to molest me.,"354,506"
Someone stole my vehicle from office while I was working.,"379,411"
Someone broke my motorcycle causing loss. I request legal action.,427
"After marriage, my husband demanded dowry and treated me cruelly. I request legal action.",498A
I am facing domestic cruelty by my husband and his family.,498A
The accused broke my house window during a fight.,427
He gave death threats and warned me not to complain. The accused escaped immediately.,506
Someone forged my documents and used them for loan. The accused escaped immediately.,"468,471"
He used a forged document as genuine for a job. Please register a case.,471
"They defrauded me of ₹25,000 using fake documents. It happened suddenly.",420
They assaulted me and I suffered simple injuries. Please register a case.,323
He intentionally insulted me leading to breach of peace. I request legal action.,504
My in-laws are mentally and physically harassing me for money. I request legal action.,"498A,406"
He intentionally insulted me leading to breach of peace.,"504,323"
My watch got stolenn near local market at morning.,379
The accused beat me during an argument and I got pain. It happened suddenly.,323
They made forged certificates to get benefits. I request legal action.,468
The accused kept my two-wheeler and is not returning it. The accused escaped immediately.,406
The accused broke my shop glass during a fight.,427
They assaulted me and I suffered simple injuries. I request legal action.,"323,506"
He gave death threats and warned me not to complain. Please register a case.,506
Someone forged my documents and used them for loan. The accused escaped immediately.,468
"A person took ₹1,00,000 promising a bus stopiness profit and later blocked me. I request legal action.",420
He slapped me and I was injured. I request legal action.,"323,506"
The accused intimidated me with serious consequences.,506
My friend took my documents and refused to return it. The accused escaped immediately.,406
The accused kept my documents and is not returning it. It happened suddenly.,"406,420"
He misused my vehicle entrusted to him and did not give it back. Please register a case.,406
The accused submitted fake documents as original.,471
My husband and in-laws harassed me for dowry and tortured me.,498A
"They defrauded me of ₹25,000 using fake documents. Please register a case.","420,468"
A group of people stopped me and robbed my gold chain.,392
"He cheated me by taking ₹2,00,000 for a job and never returned it.",420
Someone took away my phone from shopping area while I was waiting. I request legal action.,379
Someone forged my documents and used them for loan. The accused escaped immediately.,468
My wallet was took awayn from my shop. Please register a case.,379
He beat me with his hand and caused wound. The accused escaped immediately.,"323,506"
The accused insulted me and provoked me. It happened suddenly.,504
I am facing domestic cruelty by my husband and his family.,498A
A group of people stopped me and looted my bag. The accused escaped immediately.,392
He used a forged document as genuine for government benefit. I request legal action.,471
Someone broke my cell phone causing loss.,427
He used a forged document as genuine for a loan. I request legal action.,471
The accused insulted me and provoked me. Please register a case.,504
Someone used forged papers to claim a loan.,471
I am facing domestic cruelty by my husband and his family.,498A
The accused broke my house window during a fight.,427
Unknown person stole my vehicle from parking area.,379
The accused broke my shop glass during a fight.,427
My bag got stolenn near station at morning.,"379,411"
The accused kept my two-wheeler and is not returning it. I request legal action.,"406,420"
The accused submitted fake documents as original. Please register a case.,471
Someone stole my wallet from shop while I was waiting.,"379,411"
He slapped me and I was injured.,"323,506"
Unknown persons warned me and snatched my gold chain. It happened suddenly.,392
The accused created fake documents for cheating purposes.,468
Unknown person stolen my two-wheeler from parking. The accused escaped immediately.,"379,411"
He intentionally insulted me leading to breach of peace. It happened suddenly.,"504,323"
The accused kept my documents and is not returning it.,"406,420"
He abus stoped me using filthy language in public.,504
I am facing domestic cruelty by my husband and his family.,"498A,406"
My in-laws are mentally and physically harassing me for money. It happened suddenly.,498A
They used force and took my bag from me. The accused escaped immediately.,"392,506"
Someone stole my watch from office while I was shopping.,"379,411"
I was mugged near bazaar and my gold chain was taken.,392
He slapped me and I was injured. It happened suddenly.,"323,506"
The accused kept my bike and is not returning it.,"406,420"
They made forged certificates to get benefits. Please register a case.,468
The accused broke my house window during a fight.,427
He abus stoped me using filthy language in public.,504
"He collected ₹10,000 from me by giving false promises. I request legal action.",420
They used force and took my wallet from me.,392
They used force and took my gold chain from me. It happened suddenly.,"392,506"
A man touched me inappropriately and outraged my modesty.,"354,506"
The accused broke my two-wheeler during a fight. Please register a case.,427
The accused broke my house window during a fight. The accused escaped immediately.,427
I am facing domestic cruelty by my husband and his family.,"498A,406"
Someone took away my watch from parking while I was shopping. The accused escaped immediately.,"379,411"
He hit me with his hand and caused injury.,323
A group of people stopped me and robbed my wallet.,392
"After marriage, my husband demanded dowry and treated me cruelly. It happened suddenly.",498A
I am facing domestic cruelty by my husband and his family. It happened suddenly.,498A
He sexually harassed me in public and tried to molest me.,354
"After marriage, my husband demanded dowry and treated me cruelly. Please register a case.",498A
He destroyed my shop glass intentionally.,427
The accused broke my car during a fight.,427
They used abus stopive words and humiliated me. The accused escaped immediately.,504
He followed me and touched me without consent. The accused escaped immediately.,"354,506"
I am facing domestic cruelty by my husband and his family.,"498A,406"
Someone broke my phone causing loss. It happened suddenly.,427
He intentionally insulted me leading to breach of peace.,504
He sexually harassed me in public and tried to molest me.,354
They used apublic busive words and humiliated me.,504
"He collected ₹1,00,000 from me by giving false promises.",420
He apublic bused me using filthy language in public.,"504,323"
The accused kept my phone and is not returning it.,"406,420"
They intimidated my family if we take legal action. The accused escaped immediately.,506
Someone forged my documents and used them for loan.,"468,471"
He misused my cash entrusted to him and did not give it back.,406
Someone stolen my vehicle from shop while I was shopping. It happened suddenly.,379
"He collected ₹10,000 from me by giving false promises.",420
My gold chain got snatchedn near home at evening.,"379,411"
The accused insulted me and provoked me. It happened suddenly.,504
Unknown person stolen my bag from home.,"379,411"
He sexually harassed me in public and tried to molest me. I request legal action.,354
A group of people stopped me and looted my gold chain. I request legal action.,392
Unknown persons threatened me and snatched my gold chain.,392
He slapped me and I was injured. I request legal action.,323
He destroyed my cell phone intentionally. It happened suddenly.,427
A group of people stopped me and mugged my wallet. Please register a case.,392
Unknown person took away my two-wheeler from college. The accused escaped immediately.,"379,411"
The accused insulted me and provoked me. Please register a case.,504
The accused intimidated me with serious consequences. It happened suddenly.,506
They used fake certificates to obtain a job. It happened suddenly.,471
They warned my family if we take legal action. It happened suddenly.,506
He intimidated to kill me if I report to police.,506
"He cheated me by taking ₹2,00,000 for a job and never returned it. It happened suddenly.","420,468"
He abused me using filthy language in public.,504
They assaulted me and I suffered simple injuries. It happened suddenly.,323
The accused beat me during an argument and I got pain.,323
A man touched me inappropriately and outraged my modesty. I request legal action.,"354,506"
They made forged certificates to get benefits. The accused escaped immediately.,"468,471"
"After marriage, my husband demanded dowry and treated me cruelly. I request legal action.",498A
Unknown person snatched my gold chain from railway premises. Please register a case.,379
He intimidated to kill me if I report to police. I request legal action.,506
I was robbed near market and my gold chain was taken.,392
The accused insulted me and provoked me.,"504,323"
"After marriage, my husband demanded dowry and treated me cruelly. It happened suddenly.",498A
He used a forged document as genuine for a loan.,471
"They defrauded me of ₹2,00,000 using fake documents.",420
He used a forged document as genuine for property registration. Please register a case.,471
"After marriage, my husband demanded dowry and treated me cruelly.",498A
A man touched me inappropriately and outraged my modesty.,"354,506"
They intimidated my family if we take legal action. I request legal action.,506
Unknown person stolen my watch from local market.,"379,411"
He followed me and touched me without consent.,"354,506"
I was mugged near street and my gold chain was taken. The accused escaped immediately.,392
Unknown persons intimidated me and snatched my bag. It happened suddenly.,392
Fake documents were prepared to cheat me. Please register a case.,"468,471"
Someone stolen my wallet from shop while I was waiting.,"379,411"
Someone stole my watch from parking area while I was shopping.,"379,411"
He intentionally insulted me leading to breach of peace.,"504,323"
My in-laws are mentally and physically harassing me for money. Please register a case.,"498A,406"
He abus stoped me using filthy language in public.,504
The accused tried to force physical contact and misbehaved with me. The accused escaped immediately.,354
My in-laws are mentally and physically harassing me for money. It happened suddenly.,498A
They used apublic busive words and humiliated me. I request legal action.,504
My friend took my gold and refused to return it. I request legal action.,406
My in-laws are mentally and physically harassing me for money.,498A
The accused created fake documents for cheating purposes.,"468,471"
The accused tried to force physical contact and misbehaved with me. I request legal action.,354
Someone used forged papers to claim government benefit. Please register a case.,471
I was robbed near ATM and my gold chain was taken.,392
The accused created fake documents for cheating purposes. It happened suddenly.,468
They used abus stopive words and humiliated me. Please register a case.,"504,323"
He slapped me and I was injured.,323
The accused tried to force physical contact and misbehaved with me. Please register a case.,354
The accused warned me with serious consequences. The accused escaped immediately.,506
My gold chain was took awayn from my office premises. Please register a case.,"379,411"
The accused beat me during an argument and I got pain. The accused escaped immediately.,323
He followed me and touched me without consent. Please register a case.,"354,506"
Someone destroyed my shop glass causing loss.,427
The accused beat me during an argument and I got pain. I request legal action.,323
The accused broke my shop glass during a fight. Please register a case.,427
I was looted near local market and my wallet was taken.,392
The accused created fake documents for cheating purposes. I request legal action.,"468,471"
He assaulted me with his hand and caused wound. The accused escaped immediately.,323
My vehicle got stolenn near parking at evening.,"379,411"
He slapped me and I was injured.,323
He sexually harassed me in public and tried to molest me. The accused escaped immediately.,354
My laptop was took awayn from my bazaar. I request legal action.,379
"He collected ₹1,00,000 from me by giving false promises. Please register a case.",420
He assaulted me with his hand and caused wound.,323
The accused broke my house window during a fight. I request legal action.,427
My in-laws are mentally and physically harassing me for money. Please register a case.,498A
I am facing domestic cruelty by my husband and his family. It happened suddenly.,498A
Unknown persons warned me and snatched my bag. The accused escaped immediately.,392
He threatened to kill me if I report to police.,506
He abus stoped me using filthy language in public.,504
The accused intimidated me with serious consequences. Please register a case.,506
Unknown person stolen my bag from college. The accused escaped immediately.,379
My husband and in-laws harassed me for dowry and tortured me. It happened suddenly.,"498A,406"
My bag was stolenn from my home. It happened suddenly.,"379,411"
My vehicle was took awayn from my station. It happened suddenly.,"379,411"
"After marriage, my husband demanded dowry and treated me cruelly. I request legal action.",498A
My laptop got snatchedn near shop at night. It happened suddenly.,"379,411"
He abused me using filthy language in public.,504
He intentionally insulted me leading to breach of peace. It happened suddenly.,504
My vehicle was took awayn from my railway premises. The accused escaped immediately.,"379,411"
They used fake certificates to obtain government benefit. It happened suddenly.,471
"After marriage, my husband demanded dowry and treated me cruelly. I request legal action.","498A,406"
Unknown person took away my phone from workplace.,379
I gave my cash for safekeeping but he cheated and kept it. Please register a case.,406
A group of people stopped me and mugged my gold chain.,"392,506"
They made forged certificates to get benefits. Please register a case.,"468,471"
The accused intimidated me with serious consequences. I request legal action.,506
"They defrauded me of ₹2,00,000 using fake documents.",420
Someone forged my documents and used them for loan. The accused escaped immediately.,"468,471"
I gave my phone for safekeeping but he cheated and kept it. The accused escaped immediately.,"406,420"
They used apublic busive words and humiliated me.,504
They made forged certificates to get benefits.,468
The accused insulted me and provoked me. Please register a case.,504
They used force and took my phone from me. It happened suddenly.,"392,506"
The accused created fake documents for cheating purposes.,"468,471"
The accused tried to force physical contact and misbehaved with me. I request legal action.,354
They warned my family if we take legal action. I request legal action.,506
I was looted near bazaar and my gold chain was taken.,392
Unknown person stolen my bag from home. Please register a case.,"379,411"
He gave death threats and warned me not to complain. I request legal action.,506
I gave my bike for safekeeping but he cheated and kept it.,406
The accused kept my laptop and is not returning it.,406
My laptop got stolen near shop at night.,379
He beat me with his hand and caused hurt.,323
He used a forged document as genuine for a loan.,471
My laptop got stolenn near shop at night.,"379,411"
"He collected ₹1,00,000 from me by giving false promises.",420
"He collected ₹2,00,000 from me by giving false promises. It happened suddenly.","420,468"
Unknown person snatched my watch from home.,379
The accused intimidated me with serious consequences. It happened suddenly.,506
The accused tried to force physical contact and misbehaved with me.,354
They used fake certificates to obtain a loan. I request legal action.,471
He assaulted me with his hand and caused hurt. I request legal action.,323
Unknown persons threatened me and snatched my wallet.,392
The accused intimidated me with serious consequences. The accused escaped immediately.,506
The accused kept my documents and is not returning it.,"406,420"
The accused kept my cash and is not returning it. Please register a case.,406
Unknown person snatched my gold chain from railway premises.,379
The accused broke my shop glass during a fight. Please register a case.,427
He beat me with his hand and caused wound. Please register a case.,323
Someone used forged papers to claim government benefit.,471
The accused broke my motorcycle during a fight. The accused escaped immediately.,427
Fake documents were prepared to cheat me. The accused escaped immediately.,468
"After marriage, my husband demanded dowry and treated me cruelly.",498A
He sexually harassed me in public and tried to molest me.,354
They used fake certificates to obtain government benefit. The accused escaped immediately.,471
The accused created fake documents for cheating purposes. I request legal action.,468
He sexually harassed me in public and tried to molest me. It happened suddenly.,354
He sexually harassed me in public and tried to molest me.,354
He destroyed my car intentionally.,427
He destroyed my car intentionally. Please register a case.,427
The accused insulted me and provoked me. It happened suddenly.,504
A group of people stopped me and looted my phone.,392
Unknown persons warned me and snatched my gold chain. It happened suddenly.,392
They assaulted me and I suffered simple injuries.,323
He used a forged document as genuine for property registration.,471
They warned my family if we take legal action.,506
He abused me using filthy language in public.,504
The accused kept my documents and is not returning it.,406
Fake documents were prepared to cheat me. It happened suddenly.,"468,471"
They assaulted me and I suffered simple injuries. I request legal action.,323
They intimidated my family if we take legal action. It happened suddenly.,506
Fake documents were prepared to cheat me. It happened suddenly.,468
They used abus stopive words and humiliated me. It happened suddenly.,504
The accused submitted fake documents as original.,471
My laptop was stolen from my market.,379
Unknown persons intimidated me and snatched my gold chain.,392
"They defrauded me of ₹25,000 using fake documents. Please register a case.","420,468"
My watch got took awayn near shopping area at night.,"379,411"
They used force and took my wallet from me.,392
They intimidated my family if we take legal action.,506
He slapped me and I was injured.,"323,506"
He gave death threats and warned me not to complain. I request legal action.,506
The accused submitted fake documents as original. It happened suddenly.,471
I was robbed near market and my gold chain was taken.,392
Unknown persons intimidated me and snatched my phone.,392
I was mugged near public bus stop and my phone was taken. I request legal action.,392
He slapped me and I was injured.,323
He intentionally insulted me leading to breach of peace. Please register a case.,504
My in-laws are mentally and physically harassing me for money. It happened suddenly.,"498A,406"
He sexually harassed me in public and tried to molest me. It happened suddenly.,354
They assaulted me and I suffered simple injuries. I request legal action.,323
They assaulted me and I suffered simple injuries.,323
My gold chain was stolen from my office.,"379,411"
"He cheated me by taking ₹10,000 for a job and never returned it.",420
"He collected ₹1,00,000 from me by giving false promises.",420
Unknown person took away my bag from bus stop.,379
He beat me with his hand and caused hurt. Please register a case.,323
"He cheated me by taking ₹2,00,000 for a job and never returned it. The accused escaped immediately.","420,468"
"After marriage, my husband demanded dowry and treated me cruelly. I request legal action.",498A
He used a forged document as genuine for property registration.,471
Someone snatched my wallet from office premises while I was waiting. It happened suddenly.,379
He destroyed my house window intentionally.,427
"He collected ₹25,000 from me by giving false promises.",420
He intentionally insulted me leading to breach of peace. I request legal action.,504
They assaulted me and I suffered simple injuries. It happened suddenly.,323
He apublic bused me using filthy language in public. The accused escaped immediately.,"504,323"
"They defrauded me of ₹25,000 using fake documents.",420
He slapped me and I was injured. I request legal action.,"323,506"
"He collected ₹2,00,000 from me by giving false promises.",420
I am facing domestic cruelty by my husband and his family. Please register a case.,"498A,406"
Unknown person snatched my vehicle from parking lot.,379
He threatened to kill me if I report to police.,506
My husband and in-laws harassed me for dowry and tortured me. Please register a case.,498A
Unknown person took away my watch from home. The accused escaped immediately.,379
My laptop got stolenn near shop at night. It happened suddenly.,"379,411"
Someone forged my documents and used them for loan. It happened suddenly.,"468,471"
He used a forged document as genuine for property registration.,471
They threw stones and broke my phone. Please register a case.,427
The accused insulted me and provoked me.,"504,323"
My gold chain got snatchedn near home at evening. It happened suddenly.,"379,411"
He intimidated to kill me if I report to police. Please register a case.,506
He gave death threats and warned me not to complain. The accused escaped immediately.,506
The accused kept my documents and is not returning it.,406
He abus stoped me using filthy language in public.,504
"They defrauded me of ₹50,000 using fake documents. The accused escaped immediately.",420
They assaulted me and I suffered simple injuries.,323
"He collected ₹1,00,000 from me by giving false promises.",420
The accused kept my bike and is not returning it.,406
He broke my smartphone intentionally.,427
The accused created fake documents for cheating purposes. It happened suddenly.,"468,471"
He broke my car intentionally. Please register a case.,427
"A person took ₹25,000 promising a business profit and later blocked me.","420,468"
Unknown person stolen my gold chain from workplace.,"379,411"
My bag was snatchedn from my home.,379
They threw stones and broke my phone.,427
He sexually harassed me in public and tried to molest me.,"354,506"
He slapped me and I was injured. Please register a case.,323
Someone snatched my two-wheeler from shop while I was shopping. It happened suddenly.,379
He sexually harassed me in public and tried to molest me.,"354,506"
They made forged certificates to get benefits. I request legal action.,468
"He collected ₹2,00,000 from me by giving false promises.","420,468"
I am facing domestic cruelty by my husband and his family. I request legal action.,498A
The accused intimidated me with serious consequences.,506
My husband and in-laws harassed me for dowry and tortured me. It happened suddenly.,498A
He damaged my mobile phone intentionally.,427
He hit me with his hand and caused injury.,"323,506"
The accused warned me with serious consequences. Please register a case.,506
The accused insulted me and provoked me. Please register a case.,"504,323"
My bag was stolenn from my parking.,379
My in-laws are mentally and physically harassing me for money. It happened suddenly.,"498A,406"
The accused kept my cash and is not returning it. The accused escaped immediately.,406
He assaulted me with his hand and caused wound. I request legal action.,323
Someone forged my documents and used them for loan.,"468,471"
Unknown persons intimidated me and snatched my wallet. I request legal action.,392
He destroyed my cell phone intentionally. It happened suddenly.,427
He slapped me and I was injured. It happened suddenly.,323
He abus stoped me using filthy language in public. It happened suddenly.,"504,323"
He beat me with his hand and caused wound.,323
The accused tried to force physical contact and misbehaved with me.,354
Someone used forged papers to claim government benefit.,471
I am facing domestic cruelty by my husband and his family. The accused escaped immediately.,498A
They assaulted me and I suffered simple injuries.,"323,506"
He intentionally insulted me leading to breach of peace.,504
Fake documents were prepared to cheat me.,"468,471"
The accused tried to force physical contact and misbehaved with me. It happened suddenly.,354
I was mugged near bazaar and my gold chain was taken.,392
My phone got stolenn near bus stop at evening. It happened suddenly.,379
He destroyed my house window intentionally. Please register a case.,427
They used abus stopive words and humiliated me. Please register a case.,504
Someone forged my documents and used them for loan.,468
The accused created fake documents for cheating purposes. Please register a case.,"468,471"
They used apublic busive words and humiliated me. The accused escaped immediately.,504
My husband and in-laws harassed me for dowry and tortured me. Please register a case.,498A
A group of people stopped me and robbed my phone.,392
They intimidated my family if we take legal action. I request legal action.,506
"He cheated me by taking ₹2,00,000 for a job and never returned it. I request legal action.",420
Fake documents were prepared to cheat me.,"468,471"
The accused insulted me and provoked me. I request legal action.,"504,323"
They intimidated my family if we take legal action. Please register a case.,506
They used force and took my gold chain from me. Please register a case.,392
Someone forged my documents and used them for loan. Please register a case.,468
Fake documents were prepared to cheat me.,"468,471"
The accused warned me with serious consequences.,506
My gold chain got took awayn near home at evening. It happened suddenly.,"379,411"
He followed me and touched me without consent.,"354,506"
The accused insulted me and provoked me.,"504,323"
He sexually harassed me in public and tried to molest me.,"354,506"
The accused submitted fake documents as original. It happened suddenly.,471
Unknown person took away my motorcycle from parking lot. Please register a case.,379
Unknown person took away my vehicle from local market. Please register a case.,"379,411"
The accused intimidated me with serious consequences. I request legal action.,506
"He collected ₹25,000 from me by giving false promises.",420
He intimidated to kill me if I report to police. I request legal action.,506
He slapped me and I was injured.,"323,506"
They made forged certificates to get benefits. The accused escaped immediately.,"468,471"
"After marriage, my husband demanded dowry and treated me cruelly.",498A
The accused submitted fake documents as original.,471
"After marriage, my husband demanded dowry and treated me cruelly.",498A
He used a forged document as genuine for property registration.,471
He broke my car intentionally. The accused escaped immediately.,427
They used apublic busive words and humiliated me. The accused escaped immediately.,"504,323"
He slapped me and I was injured. Please register a case.,323
They intimidated my family if we take legal action. The accused escaped immediately.,506
The accused created fake documents for cheating purposes. The accused escaped immediately.,"468,471"
He used a forged document as genuine for government benefit. The accused escaped immediately.,471
The accused created fake documents for cheating purposes. It happened suddenly.,"468,471"
"After marriage, my husband demanded dowry and treated me cruelly. The accused escaped immediately.",498A
Fake documents were prepared to cheat me. Please register a case.,"468,471"
The accused broke my phone during a fight. Please register a case.,427
The accused insulted me and provoked me. Please register a case.,"504,323"
The accused tried to force physical contact and misbehaved with me. It happened suddenly.,354
The accused threatened me with serious consequences.,506
Fake documents were prepared to cheat me.,"468,471"
The accused submitted fake documents as original.,471
Someone forged my documents and used them for loan. I request legal action.,468
The accused beat me during an argument and I got pain. The accused escaped immediately.,323
I was mugged near local market and my gold chain was taken. It happened suddenly.,392
My two-wheeler got stolenn near parking lot at evening. I request legal action.,"379,411"
They made forged certificates to get benefits. Please register a case.,468
Someone forged my documents and used them for loan.,468
He gave death threats and warned me not to complain. It happened suddenly.,506
"They defrauded me of ₹25,000 using fake documents. The accused escaped immediately.",420
They made forged certificates to get benefits. It happened suddenly.,468
Unknown person stole my mobile phone from railway station.,"379,411"
He gave death threats and warned me not to complain.,506
He followed me and touched me without consent. Please register a case.,354
They used force and took my wallet from me. I request legal action.,392
He sexually harassed me in public and tried to molest me. The accused escaped immediately.,"354,506"
Fake documents were prepared to cheat me. It happened suddenly.,"468,471"
"They defrauded me of ₹25,000 using fake documents.",420
Someone stole my bike from parking area while I was talking on phone.,"379,411"
The accused submitted fake documents as original. I request legal action.,471
"A person took ₹1,00,000 promising a bus stopiness profit and later blocked me. The accused escaped immediately.",420
My vehicle was snatchedn from my railway premises. I request legal action.,379
I gave my laptop for safekeeping but he cheated and kept it. I request legal action.,406
"A person took ₹25,000 promising a bus stopiness profit and later blocked me. I request legal action.","420,468"
Someone destroyed my cell phone causing loss. Please register a case.,427
He intentionally insulted me leading to breach of peace.,"504,323"
"He collected ₹2,00,000 from me by giving false promises. Please register a case.","420,468"
They used fake certificates to obtain a job. Please register a case.,471
I was mugged near ATM and my gold chain was taken. I request legal action.,392
They made forged certificates to get benefits. Please register a case.,468
"A person took ₹2,00,000 promising a public business profit and later blocked me.",420
I am facing domestic cruelty by my husband and his family.,"498A,406"
Unknown person took away my smartphone from local market.,"379,411"
My bag was snatchedn from my home.,"379,411"
I gave my motorcycle for safekeeping but he cheated and kept it. Please register a case.,406
Unknown person snatched my cell phone from office premises.,379
Fake documents were prepared to cheat me.,468
I was robbed near street and my gold chain was taken.,392
Fake documents were prepared to cheat me.,"468,471"
He intentionally insulted me leading to breach of peace. I request legal action.,504
The accused insulted me and provoked me. The accused escaped immediately.,"504,323"
Someone forged my documents and used them for loan. The accused escaped immediately.,468
The accused tried to force physical contact and misbehaved with me. The accused escaped immediately.,"354,506"
He assaulted me with his hand and caused hurt.,323
"A person took ₹50,000 promising a bus stopiness profit and later blocked me. It happened suddenly.",420
They used abus stopive words and humiliated me. Please register a case.,504
They used apublic busive words and humiliated me.,504
I gave my vehicle for safekeeping but he cheated and kept it.,406
They used abus stopive words and humiliated me. I request legal action.,504
My gold chain got stolenn near home at evening.,"379,411"
The accused beat me during an argument and I got pain.,323
"They defrauded me of ₹25,000 using fake documents. I request legal action.",420
A group of people stopped me and looted my wallet.,392
They used apublic busive words and humiliated me.,504
He sexually harassed me in public and tried to molest me. I request legal action.,354
They used abus stopive words and humiliated me. Please register a case.,"504,323"
He assaulted me with his hand and caused hurt. It happened suddenly.,"323,506"
I was mugged near street and my gold chain was taken.,"392,506"
Unknown person snatched my vehicle from parking lot.,"379,411"
The accused intimidated me with serious consequences.,506
I was mugged near local market and my gold chain was taken. It happened suddenly.,392
Fake documents were prepared to cheat me. I request legal action.,"468,471"
A group of people stopped me and looted my phone. The accused escaped immediately.,392
"A person took ₹1,00,000 promising a public business profit and later blocked me. Please register a case.",420
I am facing domestic cruelty by my husband and his family. It happened suddenly.,498A
Someone used forged papers to claim a loan. It happened suddenly.,471
The accused insulted me and provoked me.,504
My in-laws are mentally and physically harassing me for money. Please register a case.,498A
He sexually harassed me in public and tried to molest me.,"354,506"
They assaulted me and I suffered simple injuries. Please register a case.,323
My bag got snatchedn near shop at night. I request legal action.,379
Someone forged my documents and used them for loan. It happened suddenly.,"468,471"
He misused my vehicle entrusted to him and did not give it back. The accused escaped immediately.,406
He slapped me and I was injured. The accused escaped immediately.,323
The accused warned me with serious consequences. Please register a case.,506
He abus stoped me using filthy language in public. The accused escaped immediately.,"504,323"
